pump;no_pump
buy ;go
bid;don't
sell;achieve
target;also
bittrex;may
signal;big
accumulate;ask
low;another
long;free
current price;profit
range;increase
day;trend
stop loss;news
good;bounce
buy;channel
start;pm
block;strong
volume;yesterday
accumul;done
coin;result
cp;period
stop;
zone;
min;
max;
entry;
