,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1585578660000,0.00091040,0.00091040,0.00091040,0.00091040,3.43000000,1585578719999,0.00312267,1,3.43000000,0.00312267,ZENBTC
1,1585578720000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585578779999,0.00000000,0,0.00000000,0.00000000,ZENBTC
2,1585578780000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585578839999,0.00000000,0,0.00000000,0.00000000,ZENBTC
3,1585578840000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585578899999,0.00000000,0,0.00000000,0.00000000,ZENBTC
4,1585578900000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585578959999,0.00000000,0,0.00000000,0.00000000,ZENBTC
5,1585578960000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585579019999,0.00000000,0,0.00000000,0.00000000,ZENBTC
6,1585579020000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585579079999,0.00000000,0,0.00000000,0.00000000,ZENBTC
7,1585579080000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585579139999,0.00000000,0,0.00000000,0.00000000,ZENBTC
8,1585579140000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585579199999,0.00000000,0,0.00000000,0.00000000,ZENBTC
9,1585579200000,0.00091040,0.00091040,0.00091040,0.00091040,0.00000000,1585579259999,0.00000000,0,0.00000000,0.00000000,ZENBTC
10,1585579260000,0.00090940,0.00090940,0.00090940,0.00090940,0.37000000,1585579319999,0.00033647,1,0.37000000,0.00033647,ZENBTC
11,1585579320000,0.00090870,0.00090870,0.00090820,0.00090820,5.95000000,1585579379999,0.00540639,7,0.00000000,0.00000000,ZENBTC
12,1585579380000,0.00090820,0.00090820,0.00090820,0.00090820,0.00000000,1585579439999,0.00000000,0,0.00000000,0.00000000,ZENBTC
13,1585579440000,0.00090820,0.00090820,0.00090820,0.00090820,0.00000000,1585579499999,0.00000000,0,0.00000000,0.00000000,ZENBTC
14,1585579500000,0.00090820,0.00090820,0.00090820,0.00090820,0.00000000,1585579559999,0.00000000,0,0.00000000,0.00000000,ZENBTC
15,1585579560000,0.00090820,0.00090820,0.00090820,0.00090820,0.00000000,1585579619999,0.00000000,0,0.00000000,0.00000000,ZENBTC
16,1585579620000,0.00090950,0.00090950,0.00090950,0.00090950,0.12000000,1585579679999,0.00010914,1,0.12000000,0.00010914,ZENBTC
17,1585579680000,0.00090950,0.00090950,0.00090950,0.00090950,0.00000000,1585579739999,0.00000000,0,0.00000000,0.00000000,ZENBTC
18,1585579740000,0.00090950,0.00090950,0.00090950,0.00090950,0.00000000,1585579799999,0.00000000,0,0.00000000,0.00000000,ZENBTC
19,1585579800000,0.00090950,0.00090950,0.00090950,0.00090950,0.00000000,1585579859999,0.00000000,0,0.00000000,0.00000000,ZENBTC
20,1585579860000,0.00091130,0.00091130,0.00091130,0.00091130,109.80000000,1585579919999,0.10006074,1,109.80000000,0.10006074,ZENBTC
21,1585579920000,0.00091130,0.00091130,0.00091130,0.00091130,0.00000000,1585579979999,0.00000000,0,0.00000000,0.00000000,ZENBTC
22,1585579980000,0.00091130,0.00091130,0.00091130,0.00091130,0.00000000,1585580039999,0.00000000,0,0.00000000,0.00000000,ZENBTC
23,1585580040000,0.00091160,0.00091160,0.00091160,0.00091160,0.14000000,1585580099999,0.00012762,1,0.14000000,0.00012762,ZENBTC
24,1585580100000,0.00091160,0.00091160,0.00091160,0.00091160,0.00000000,1585580159999,0.00000000,0,0.00000000,0.00000000,ZENBTC
25,1585580160000,0.00091160,0.00091160,0.00091160,0.00091160,0.00000000,1585580219999,0.00000000,0,0.00000000,0.00000000,ZENBTC
