,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1606242060000,0.00002105,0.00002105,0.00002105,0.00002105,362.00000000,1606242119999,0.00762010,1,0.00000000,0.00000000,SCRTBTC
1,1606242120000,0.00002105,0.00002105,0.00002105,0.00002105,0.00000000,1606242179999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
2,1606242180000,0.00002105,0.00002105,0.00002105,0.00002105,0.00000000,1606242239999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
3,1606242240000,0.00002104,0.00002104,0.00002104,0.00002104,259.00000000,1606242299999,0.00544936,1,0.00000000,0.00000000,SCRTBTC
4,1606242300000,0.00002112,0.00002112,0.00002112,0.00002112,377.00000000,1606242359999,0.00796224,1,0.00000000,0.00000000,SCRTBTC
5,1606242360000,0.00002112,0.00002112,0.00002112,0.00002112,332.00000000,1606242419999,0.00701184,1,0.00000000,0.00000000,SCRTBTC
6,1606242420000,0.00002112,0.00002112,0.00002112,0.00002112,0.00000000,1606242479999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
7,1606242480000,0.00002112,0.00002112,0.00002112,0.00002112,254.00000000,1606242539999,0.00536448,1,0.00000000,0.00000000,SCRTBTC
8,1606242540000,0.00002111,0.00002118,0.00002110,0.00002118,465.00000000,1606242599999,0.00982603,4,465.00000000,0.00982603,SCRTBTC
9,1606242600000,0.00002118,0.00002118,0.00002118,0.00002118,0.00000000,1606242659999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
10,1606242660000,0.00002115,0.00002115,0.00002115,0.00002115,2.00000000,1606242719999,0.00004230,1,2.00000000,0.00004230,SCRTBTC
11,1606242720000,0.00002108,0.00002108,0.00002105,0.00002105,89.00000000,1606242779999,0.00187597,5,0.00000000,0.00000000,SCRTBTC
12,1606242780000,0.00002110,0.00002110,0.00002110,0.00002110,303.00000000,1606242839999,0.00639330,1,303.00000000,0.00639330,SCRTBTC
13,1606242840000,0.00002110,0.00002110,0.00002110,0.00002110,298.00000000,1606242899999,0.00628780,1,0.00000000,0.00000000,SCRTBTC
14,1606242900000,0.00002110,0.00002110,0.00002110,0.00002110,0.00000000,1606242959999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
15,1606242960000,0.00002110,0.00002110,0.00002110,0.00002110,101.00000000,1606243019999,0.00213110,2,101.00000000,0.00213110,SCRTBTC
16,1606243020000,0.00002111,0.00002111,0.00002108,0.00002108,657.00000000,1606243079999,0.01386048,3,364.00000000,0.00768404,SCRTBTC
17,1606243080000,0.00002108,0.00002108,0.00002108,0.00002108,0.00000000,1606243139999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
18,1606243140000,0.00002108,0.00002108,0.00002108,0.00002108,0.00000000,1606243199999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
19,1606243200000,0.00002108,0.00002108,0.00002108,0.00002108,6.00000000,1606243259999,0.00012648,1,6.00000000,0.00012648,SCRTBTC
20,1606243260000,0.00002106,0.00002119,0.00002106,0.00002119,1442.00000000,1606243319999,0.03042110,5,1110.00000000,0.02342918,SCRTBTC
21,1606243320000,0.00002119,0.00002119,0.00002119,0.00002119,0.00000000,1606243379999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
22,1606243380000,0.00002113,0.00002113,0.00002100,0.00002100,8200.00000000,1606243439999,0.17234726,11,818.00000000,0.01718618,SCRTBTC
23,1606243440000,0.00002115,0.00002115,0.00002115,0.00002115,2.00000000,1606243499999,0.00004230,1,2.00000000,0.00004230,SCRTBTC
24,1606243500000,0.00002102,0.00002102,0.00002102,0.00002102,288.00000000,1606243559999,0.00605376,1,0.00000000,0.00000000,SCRTBTC
25,1606243560000,0.00002102,0.00002102,0.00002102,0.00002102,0.00000000,1606243619999,0.00000000,0,0.00000000,0.00000000,SCRTBTC
